zip,sido,si,dong,ri,doseo,bunji,apt,address
210821,강원,강릉시,강동면,모전리,,,아파트,강원 강릉시 강동면 모전리
210822,강원,강릉시,강동면,산성우리,,,,강원 강릉시 강동면 산성우리
210821,강원,강릉시,강동면,상시동리,,,,강원 강릉시 강동면 상시동리
210822,강원,강릉시,강동면,심곡리,,,,강원 강릉시 강동면 심곡리
210824,강원,강릉시,강동면,안인리,,,,강원 강릉시 강동면 안인리
210824,강원,강릉시,강동면,안인진리,,,,강원 강릉시 강동면 안인진리
210821,강원,강릉시,강동면,언별리,,,,강원 강릉시 강동면 언별리
210824,강원,강릉시,강동면,임곡리,,,,강원 강릉시 강동면 임곡리
210824,강원,강릉시,강동면,정동진1리,,,,강원 강릉시 강동면 정동진1리
210822,강원,강릉시,강동면,정동진2리,,,,강원 강릉시 강동면 정동진2리
210822,강원,강릉시,강동면,정동진3리,,,,강원 강릉시 강동면 정동진3리
210824,강원,강릉시,강동면,정동진리,,,,강원 강릉시 강동면 정동진리
210823,강원,강릉시,강동면,하시동리,,,,강원 강릉시 강동면 하시동리
210820,강원,강릉시,강동면,,,,,강원 강릉시 강동면
210130,강원,강릉시,강문동,,,,,강원 강릉시 강문동
210791,강원,강릉시,견소동,,,,송정한신아파트 (101~105동),강원 강릉시 견소동 송정한신아파트 (101~105동)
210150,강원,강릉시,견소동,,,,,강원 강릉시 견소동
210795,강원,강릉시,견소동,,,,신도브래뉴아파트,강원 강릉시 견소동 신도브래뉴아파트
210003,강원,강릉시,교1동,,,,강릉우편집중국,강원 강릉시 교1동 강릉우편집중국
210751,강원,강릉시,교1동,,,,교동부영1단지아파트 (101~107동),강원 강릉시 교1동 교동부영1단지아파트 (101~107동)
210750,강원,강릉시,교1동,,,,교동부영3단지아파트 (301~304동),강원 강릉시 교1동 교동부영3단지아파트 (301~304동)
210758,강원,강릉시,교1동,,,,교동부영5단지아파트 (501~506동),강원 강릉시 교1동 교동부영5단지아파트 (501~506동)
210759,강원,강릉시,교1동,,,,교동부영2단지아파트 (201~204동),강원 강릉시 교1동 교동부영2단지아파트 (201~204동)
210755,강원,강릉시,교1동,,,,교동주공3단지아파트 (301~312동),강원 강릉시 교1동 교동주공3단지아파트 (301~312동)
210757,강원,강릉시,교1동,,,,하이빌현대아파트 (101~103동),강원 강릉시 교1동 하이빌현대아파트 (101~103동)
210756,강원,강릉시,교1동,,,,현대2차아파트,강원 강릉시 교1동 현대2차아파트
210101,강원,강릉시,교1동,,,,,강원 강릉시 교1동
210754,강원,강릉시,교1동,,,,교동주공2단지아파트 (201~208동),강원 강릉시 교1동 교동주공2단지아파트 (201~208동)
210753,강원,강릉시,교1동,,,,교동부영6단지아파트 (601~605동),강원 강릉시 교1동 교동부영6단지아파트 (601~605동)
210752,강원,강릉시,교1동,,,,교동주공1단지아파트 (101~114동),강원 강릉시 교1동 교동주공1단지아파트 (101~114동)
210923,강원,강릉시,교1동,,,655~710,,강원 강릉시 교1동 655~710
210923,강원,강릉시,교1동,,,715~720,,강원 강릉시 교1동 715~720
210923,강원,강릉시,교1동,,,725~786,,강원 강릉시 교1동 725~786
210924,강원,강릉시,교1동,,,1525~1600,,강원 강릉시 교1동 1525~1600
210924,강원,강릉시,교1동,,,1689~1911,,강원 강릉시 교1동 1689~1911
210924,강원,강릉시,교1동,,,1279~1519,,강원 강릉시 교1동 1279~1519
210923,강원,강릉시,교1동,,,815~906,,강원 강릉시 교1동 815~906
210924,강원,강릉시,교1동,,,908~1270,,강원 강릉시 교1동 908~1270
210951,강원,강릉시,교1동,,,1912~1920,,강원 강릉시 교1동 1912~1920
210770,강원,강릉시,교1동,,,,강릉교동롯데캐슬아파트 (101~104동),강원 강릉시 교1동 강릉교동롯데캐슬아파트 (101~104동)
210770,강원,강릉시,교1동,,,,강릉교동롯데캐슬아파트 (201~204동),강원 강릉시 교1동 강릉교동롯데캐슬아파트 (201~204동)
210920,강원,강릉시,교2동,,,1~242,,강원 강릉시 교2동 1~242
210921,강원,강릉시,교2동,,, 산1~164,,강원 강릉시 교2동 산1~164
210921,강원,강릉시,교2동,,,1520~1524,,강원 강릉시 교2동 1520~1524
